,x,y,z
11377,56.0,177.0,9.616419290880204
38443,192.0,43.0,8.336724296202728
24641,123.0,41.0,9.497462506290011
33704,168.0,104.0,9.711006713023705
39196,195.0,196.0,7.701042569320036
2203,11.0,3.0,9.484030888416012
25240,126.0,40.0,9.983815613703902
1413,7.0,13.0,10.427972842436748
9705,48.0,105.0,9.535280327381924
36714,183.0,114.0,7.56487484389447
6211,31.0,11.0,9.557859156756184
6090,30.0,90.0,9.729321787276929
19851,99.0,51.0,9.88385462522446
33836,169.0,36.0,6.532848949612915
20855,104.0,55.0,9.759709365092913
31980,159.0,180.0,9.002208679019516
37748,188.0,148.0,11.41745088851359
26737,133.0,137.0,11.328763578770118
37761,188.0,161.0,8.271401565459184
1931,9.0,131.0,11.626303318661797
21912,109.0,112.0,6.873533340149491
29298,146.0,98.0,10.83674438918765
16470,82.0,70.0,14.382782129117803
7055,35.0,55.0,10.499215153168533
23013,115.0,13.0,12.197702542312493
31679,158.0,79.0,10.335469542081395
22065,110.0,65.0,9.885604734058559
36405,182.0,5.0,5.33612861639064
8584,42.0,184.0,9.524802680982653
19398,96.0,198.0,11.688865735821334
22564,112.0,164.0,11.310253760768697
33324,166.0,124.0,12.503970839756793
22480,112.0,80.0,10.550458384383054
19066,95.0,66.0,14.370642482036917
19845,99.0,45.0,8.843500508483128
16087,80.0,87.0,12.996757914214136
20255,101.0,55.0,10.787466799536379
28766,143.0,166.0,11.872343513076457
38160,190.0,160.0,10.662736806150757
10087,50.0,87.0,10.631894441681116
7316,36.0,116.0,6.851725768994111
1095,5.0,95.0,9.958136870815334
17024,85.0,24.0,10.12072366039052
6521,32.0,121.0,7.014062859254748
32323,161.0,123.0,12.58759144668732
17477,87.0,77.0,15.095696666787077
27018,135.0,18.0,12.197557229032299
4370,21.0,170.0,9.386579850515563
20198,100.0,198.0,8.9395189730155
36127,180.0,127.0,6.774453436189015
20221,101.0,21.0,11.595749943982081
24351,121.0,151.0,9.304556232542254
32040,160.0,40.0,10.019998834050979
30327,151.0,127.0,11.074740096300452
25210,126.0,10.0,11.586285039326935
18307,91.0,107.0,9.82394603076768
1336,6.0,136.0,9.976835889502055
6793,33.0,193.0,9.050649160381665
5694,28.0,94.0,8.105556297236923
9569,47.0,169.0,8.863184729252893
25236,126.0,36.0,10.701012643523901
1506,7.0,106.0,11.517867794415551
21519,107.0,119.0,9.338523591039467
1725,8.0,125.0,11.925428370550677
28332,141.0,132.0,11.705213419961396
7573,37.0,173.0,9.825621367136447
